pqif,iloop,cc_mean,cc_std
0.0,0,-0.008133658189197729,0.018505127410105196
0.0,1,0.9919769057106977,0.00016536813515043565
0.0,2,0.9905054223710664,0.0005383745199949911
0.0,3,0.9890497607958532,0.0018054877037884832
0.0,4,0.986710159458877,0.00381139843904542
0.0,5,0.9871501596884352,0.002575404088928476
0.0,6,0.9854921511152626,0.0058677150762138485
0.0,7,0.9828661324407827,0.006206496871075849
0.0,8,0.9868294842715756,0.0031742230504768205
0.0,9,0.9834818598383064,0.005429791421523066
0.0,10,0.9823990250044788,0.0062514398493134365
0.0,11,0.9461684700649864,0.03861222817106076
0.0,12,0.9500724811459003,0.0360004250222131
0.0,13,0.9541978986067624,0.03535178483404178
0.0,14,0.9599070402256856,0.026369691329279056
0.0,15,0.9360296298285121,0.04267027562300242
0.25,0,-0.005651223545901065,0.011734017211989137
0.25,1,0.9921883708415423,0.00028594341182244977
0.25,2,0.9914605184066747,0.0003703126060641943
0.25,3,0.990643403193344,0.0008321259087767402
0.25,4,0.990463337934467,0.0007303158722358565
0.25,5,0.9899740628644942,0.0009205510244028702
0.25,6,0.9891011616642486,0.001230704276041626
0.25,7,0.988347514028155,0.0023720029994379922
0.25,8,0.9895895577327634,0.0011607554181056383
0.25,9,0.9884408176418942,0.002425795739174819
0.25,10,0.9891473177596873,0.001988485373584993
0.25,11,0.979771565414907,0.009941430404048024
0.25,12,0.9733709384218544,0.014548470495198427
0.25,13,0.9665790420015972,0.02264964900295694
0.25,14,0.9582536214775749,0.02830345417193187
0.25,15,0.9581711841784213,0.04162897089598278
0.5,0,-0.015930851038037413,0.016901201752350468
0.5,1,0.9920764334901154,0.00033692252414956313
0.5,2,0.9916973779162384,0.00039962112568058504
0.5,3,0.9912658414042774,0.0005370724805070729
0.5,4,0.991007541028085,0.0009816324153019836
0.5,5,0.9908953862969879,0.0006743540851255601
0.5,6,0.9906907818559644,0.001116450094697854
0.5,7,0.9895458353468488,0.0015098154013906122
0.5,8,0.9907889461859896,0.0011893894687909252
0.5,9,0.9901333414887725,0.0018999672161273198
0.5,10,0.9900336561350894,0.000995934733067103
0.5,11,0.9786729250120381,0.017002626339108876
0.5,12,0.9728334701673752,0.011558780860054463
0.5,13,0.9818479483864758,0.012377366409978552
0.5,14,0.9822501516242121,0.00807542111064416
0.5,15,0.9829758673010851,0.008547186181873907
0.75,0,-0.002765101461953156,0.02031088708902718
0.75,1,0.9924868413347351,0.0003620551772133399
0.75,2,0.9924642618833859,0.00037210020934875685
0.75,3,0.9923775050085706,0.0005658478136535376
0.75,4,0.9919675380777961,0.000505321262425075
0.75,5,0.9917834105405315,0.0010868680962186437
0.75,6,0.9912174435826973,0.0008930163198593881
0.75,7,0.9912089125695178,0.0012145967261419756
0.75,8,0.9906675853937832,0.0014998779788872635
0.75,9,0.9907608190736761,0.0010799078339132065
0.75,10,0.9898081721151415,0.002527143774522751
0.75,11,0.9858829277506483,0.007215716253248043
0.75,12,0.9805416967970227,0.015078019425932846
0.75,13,0.9883937791639307,0.00452999959337389
0.75,14,0.9882148507450133,0.0032749046418336487
0.75,15,0.9879842807381095,0.0028974690869515204
1.0,0,-0.010250918171128052,0.024453471526394013
1.0,1,0.9925560953488164,0.00031752922986439546
1.0,2,0.9927882298628592,0.0004981070479535018
1.0,3,0.9927303021401384,0.0004248941484762203
1.0,4,0.9923169604503592,0.0006196418909235464
1.0,5,0.9923076078777384,0.0006767974355288292
1.0,6,0.9920917222225567,0.0007568657018156685
1.0,7,0.9919485183584531,0.0013269470596122164
1.0,8,0.9916096691866908,0.000510189757687147
1.0,9,0.9919965585614786,0.0009877960158321583
1.0,10,0.9902174151436837,0.0034263304505590536
1.0,11,0.9825450088314908,0.009005514513283389
1.0,12,0.9880878633008766,0.004141326691593318
1.0,13,0.9864044118815662,0.007997789997533391
1.0,14,0.9845820024504077,0.007357137554702066
1.0,15,0.9882907739092983,0.0038361894580877386
